iter	RMSE
0	67523.57878
1	56151.82052
2	48713.43683
3	42833.78382
4	39229.0816
5	36436.61571
6	34410.5186
7	32867.47567
8	31771.40322
9	30931.35953
10	29683.35012
11	28934.50088
12	28309.40753
13	27854.21443
14	27210.00954
15	26748.49139
16	26170.12904
17	25876.47156
18	25467.17502
19	25089.96676
20	24846.26767
21	24565.13195
22	24345.31263
23	23915.46724
24	23530.3887
25	23173.41754
26	22777.60542
27	22522.14942
28	22293.55344
29	22060.91786
30	21876.83248
31	21688.67329
32	21423.44495
33	21239.07996
34	21081.07095
35	20898.65996
36	20712.9317
37	20518.29503
38	20352.35292
39	20034.10699
40	19852.10796
41	19663.75365
42	19531.19228
43	19319.59111
44	19225.49599
45	18974.98829
46	18811.3617
47	18654.39641
48	18463.63836
49	18338.42526
50	18198.14809
51	18088.64826
52	17978.2675
53	17808.02404
54	17648.32986
55	17538.14714
56	17426.57065
57	17295.78229
58	17169.01986
59	17079.65696
60	16955.62326
61	16851.44758
62	16776.67816
63	16714.10741
64	16615.49536
65	16501.65625
66	16416.50955
67	16351.11201
68	16257.17252
69	16072.93755
70	15887.9143
71	15799.55099
72	15698.39717
73	15638.0518
74	15544.16033
75	15472.85468
76	15392.07783
77	15334.61482
78	15274.71217
79	15223.44583
80	15158.72298
81	15105.96372
82	14991.25535
83	14932.79912
84	14846.10848
85	14740.10483
86	14675.33363
87	14610.0135
88	14530.06874
89	14439.55292
90	14347.50464
91	14292.29378
92	14225.85755
93	14158.92374
94	14103.9095
95	14025.42815
96	13967.94961
97	13924.82965
98	13884.61126
99	13836.52834
100	13785.67086
101	13746.13605
102	13694.61489
103	13634.00675
104	13584.55705
105	13537.73573
106	13488.72245
107	13443.94845
108	13394.9366
109	13331.27664
110	13296.19496
111	13252.72413
112	13204.80499
113	13137.64129
114	13101.20635
115	13058.10252
116	12996.6166
117	12968.76389
118	12931.30026
119	12875.24527
120	12846.08982
121	12803.23483
122	12770.90181
123	12716.93678
124	12648.68323
125	12557.14689
126	12530.56286
127	12496.1937
128	12459.7646
129	12405.92033
130	12376.6695
131	12310.36677
132	12287.43094
133	12251.62217
134	12221.68833
135	12190.0354
136	12162.14325
137	12123.46556
138	12092.85278
139	12058.67708
140	12034.9777
141	11988.2201
142	11956.69389
143	11902.05487
144	11881.75465
145	11843.94024
146	11811.24814
147	11783.10611
148	11755.36705
149	11726.30988
150	11693.43558
151	11659.33842
152	11619.72788
153	11584.13901
154	11546.50532
155	11501.23168
156	11471.81609
157	11440.15429
158	11414.61307
159	11394.52887
160	11375.78941
161	11345.27287
162	11320.93971
163	11300.82406
164	11282.13124
165	11247.8529
166	11225.13737
167	11197.28492
168	11157.76488
169	11136.99895
170	11103.22268
171	11077.81332
172	11057.06378
173	11023.21227
174	11001.89843
175	10975.33583
176	10953.54928
177	10940.81947
178	10915.75022
179	10893.2205
180	10879.95367
181	10857.08181
182	10841.00498
183	10816.5566
184	10787.59774
185	10759.10505
186	10740.50982
187	10721.28303
188	10708.47482
189	10660.85671
190	10633.9499
191	10599.44949
192	10584.1636
193	10565.75345
194	10545.5902
195	10515.37986
196	10499.00874
197	10482.27319
198	10433.26579
199	10419.765
200	10402.85822
201	10375.20832
202	10347.5254
203	10325.56658
204	10304.98831
205	10287.3691
206	10244.87545
207	10225.24868
208	10205.00877
209	10192.15567
210	10171.85214
211	10146.39273
212	10132.04554
213	10120.83943
214	10101.80344
215	10075.32572
216	10053.93782
217	10006.40229
218	9988.368846
219	9972.486374
220	9950.444799
221	9922.600724
222	9909.572817
223	9883.239064
224	9869.856299
225	9856.027747
226	9840.911105
227	9829.19866
228	9801.409237
229	9782.252129
230	9766.480478
231	9738.448804
232	9718.03512
233	9690.286174
234	9671.401317
235	9655.587495
236	9637.067237
237	9618.107504
238	9607.982599
239	9575.555665
240	9554.67748
241	9524.553799
242	9510.641283
243	9500.02022
244	9479.723953
245	9464.792122
246	9451.67551
247	9439.738103
248	9426.463624
249	9412.832111
250	9388.243412
251	9368.818904
252	9358.472037
253	9334.816579
254	9323.386775
255	9304.952429
256	9277.610325
257	9261.792906
258	9234.544704
259	9225.81142
260	9209.177954
261	9194.658004
262	9178.764618
263	9153.076052
264	9139.105335
265	9120.27975
266	9105.260556
267	9083.90514
268	9071.713092
269	9058.955836
270	9043.353916
271	9036.191386
272	9025.558366
273	8995.510791
274	8982.679215
275	8959.239484
276	8950.967378
277	8926.040501
278	8910.786923
279	8897.349335
280	8887.519563
281	8862.092039
282	8848.57277
283	8833.580843
284	8810.005573
285	8795.953772
286	8785.341576
287	8776.182774
288	8763.316496
289	8753.964618
290	8744.552251
291	8737.864795
292	8729.868917
293	8717.594417
294	8707.733531
295	8697.664501
296	8686.49997
297	8672.848078
298	8664.228473
299	8651.336078
300	8643.987351
301	8632.468155
302	8618.544021
303	8609.060468
