iter	Passed	Remaining
0	25	23549
1	46	21954
2	69	21876
3	94	22246
4	117	21926
5	140	21891
6	164	21943
7	188	21956
8	211	21977
9	233	21733
10	255	21631
11	278	21584
12	301	21526
13	324	21535
14	351	21695
15	376	21780
16	399	21723
17	422	21701
18	445	21641
19	468	21608
20	492	21584
21	516	21617
22	541	21655
23	566	21653
24	588	21578
25	612	21568
26	635	21530
27	658	21498
28	681	21469
29	705	21432
30	728	21420
31	750	21349
32	774	21347
33	798	21326
34	821	21300
35	845	21277
36	871	21305
37	895	21298
38	918	21256
39	943	21266
40	965	21221
41	990	21228
42	1016	21252
43	1040	21232
44	1064	21218
45	1087	21188
46	1111	21163
47	1133	21109
48	1153	21030
49	1177	21012
50	1201	20992
51	1225	20969
52	1248	20934
53	1270	20888
54	1292	20847
55	1315	20814
56	1337	20769
57	1359	20725
58	1381	20674
59	1405	20664
60	1429	20644
61	1451	20598
62	1472	20540
63	1494	20506
64	1516	20467
65	1540	20441
66	1564	20429
67	1587	20408
68	1613	20408
69	1635	20370
70	1657	20327
71	1679	20288
72	1701	20259
73	1723	20217
74	1746	20188
75	1768	20147
76	1789	20102
77	1812	20076
78	1834	20039
79	1857	20010
80	1878	19969
81	1900	19930
82	1922	19892
83	1945	19873
84	1968	19848
85	1991	19825
86	2014	19797
87	2036	19766
88	2062	19767
89	2087	19758
90	2108	19721
91	2130	19687
92	2152	19648
93	2174	19612
94	2197	19591
95	2220	19566
96	2243	19541
97	2265	19511
98	2290	19504
99	2313	19478
100	2335	19446
101	2359	19428
102	2384	19423
103	2407	19399
104	2429	19370
105	2450	19330
106	2474	19309
107	2496	19275
108	2518	19249
109	2542	19229
110	2566	19213
111	2589	19191
112	2611	19160
113	2635	19139
114	2658	19115
115	2682	19101
116	2705	19073
117	2727	19046
118	2750	19022
119	2772	18994
120	2795	18970
121	2818	18942
122	2840	18911
123	2864	18895
124	2887	18873
125	2910	18847
126	2933	18822
127	2956	18801
128	2980	18785
129	3003	18762
130	3027	18739
131	3051	18722
132	3074	18699
133	3097	18677
134	3119	18645
135	3140	18612
136	3163	18589
137	3187	18573
138	3209	18543
139	3231	18512
140	3254	18485
141	3276	18460
142	3299	18436
143	3320	18403
144	3344	18385
145	3367	18358
146	3390	18336
147	3413	18313
148	3436	18289
149	3458	18260
150	3480	18231
151	3502	18204
152	3530	18204
153	3552	18175
154	3575	18154
155	3600	18143
156	3624	18121
157	3650	18111
158	3673	18089
159	3697	18069
160	3720	18047
161	3743	18024
162	3766	18002
163	3791	17988
164	3817	17978
165	3839	17950
166	3863	17929
167	3886	17906
168	3908	17877
169	3933	17863
170	3958	17848
171	3981	17822
172	4002	17793
173	4027	17775
174	4051	17757
175	4074	17732
176	4096	17705
177	4118	17678
178	4142	17656
179	4164	17628
180	4188	17610
181	4213	17595
182	4239	17582
183	4262	17557
184	4284	17529
185	4305	17499
186	4330	17482
187	4352	17457
188	4374	17428
189	4396	17400
190	4418	17372
191	4439	17342
192	4461	17316
193	4485	17295
194	4509	17275
195	4531	17248
196	4554	17222
197	4576	17195
198	4600	17174
199	4622	17150
200	4646	17129
201	4667	17100
202	4691	17078
203	4714	17054
204	4736	17027
205	4760	17008
206	4783	16986
207	4808	16967
208	4831	16945
209	4854	16921
210	4878	16899
211	4901	16878
212	4925	16859
213	4950	16841
214	4973	16817
215	4996	16792
216	5018	16767
217	5042	16746
218	5067	16729
219	5091	16709
220	5114	16685
221	5137	16662
222	5163	16646
223	5185	16621
224	5208	16596
225	5230	16571
226	5252	16545
227	5277	16526
228	5299	16500
229	5322	16477
230	5345	16452
231	5366	16424
232	5388	16396
233	5411	16373
234	5434	16349
235	5457	16326
236	5480	16301
237	5501	16274
238	5524	16248
239	5548	16230
240	5572	16208
241	5594	16182
242	5616	16157
243	5642	16140
244	5663	16111
245	5684	16084
246	5707	16058
247	5727	16029
248	5751	16008
249	5774	15982
250	5797	15960
251	5820	15937
252	5843	15912
253	5865	15888
254	5889	15866
255	5912	15844
256	5934	15817
257	5961	15803
258	5983	15778
259	6008	15759
260	6030	15734
261	6054	15713
262	6077	15690
263	6100	15666
264	6122	15640
265	6144	15615
266	6166	15590
267	6188	15563
268	6210	15538
269	6234	15516
270	6257	15493
271	6280	15469
272	6302	15444
273	6325	15421
274	6349	15401
275	6372	15376
276	6394	15352
277	6419	15332
278	6443	15312
279	6465	15286
280	6488	15262
281	6511	15239
282	6537	15222
283	6560	15199
284	6585	15182
285	6608	15158
286	6632	15137
287	6655	15114
288	6678	15090
289	6704	15073
290	6726	15048
291	6749	15023
292	6771	14999
293	6794	14974
294	6818	14953
295	6841	14931
296	6866	14911
297	6888	14887
298	6910	14861
299	6934	14839
300	6959	14820
301	6982	14797
302	7007	14778
303	7031	14756
304	7056	14738
305	7079	14714
